Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
173,"P Manning","Semiotics of drink and drinking",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=bfC-kpHdcOcC&oi=fnd&pg=PP2&dq=wermouth+wine+martini&ots=jPxAit5UN7&sig=3ZwWqRzJjwsSSgo4ljTpX2NlVwA","https://scholar.google.com/scholar?cites=16731505957047907324&as_sdt=2005&sciodt=0,5&hl=en",85,"2021-05-06 20:54:20","BOOK","","","",,,,,173,19.22,173,1,9,"… SEMIOTICS OF DRINK AND DRINKING does the convivial drinking and talking, 'sympotic wine and poetic … ofthe 'dry' martini as a type (legisign) doesn't care how much vermouth there is … as a foundation for pronouncing some martinis closer to the prototypical martini than others …"
82,"WR Miller, RF Muñoz","Controlling your drinking: Tools to make moderation work for you",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=YNZQhWHHDtAC&oi=fnd&pg=PP1&dq=wermouth+wine+martini&ots=5-qY5RcBmm&sig=cwZvsz59t5C0srcYO8PSqkXwHH8","https://scholar.google.com/scholar?cites=5402234964940532539&as_sdt=2005&sciodt=0,5&hl=en",110,"2021-05-06 20:54:20","BOOK","","","",,,,,82,10.25,41,2,8,"… It applies equally to a man who most days has a six pack of “light” beer between work and bedtime, a woman who drinks a bottle of wine once or twice a week, and the person whose daily fare is a fifth of scotch. So how much is too much? The US …"
47,"I Tonutti, P Liddle","Aromatic plants in alcoholic beverages. A review.",2010,"Flavour and fragrance journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ffj.2001","https://scholar.google.com/scholar?cites=2653860051576219202&as_sdt=2005&sciodt=0,5&hl=en",52,"2021-05-06 20:54:20","","","","",,,,,47,4.27,24,2,11,"… The first written scientific information about these wines dates back to this period … wormwood, vermut in German) was literally translated into the German as 'wermut‐wine' during production … was in 1786 that Antonio and Benedetto Carpano prepared the first vermouth formulation …"
41,"M Bartoszek, J Polak","An electron paramagnetic resonance study of antioxidant properties of alcoholic beverages",2012,"Food chemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0308814611018528","https://scholar.google.com/scholar?cites=10589639459767768522&as_sdt=2005&sciodt=0,5&hl=en",72,"2021-05-06 20:54:20","","","","",,,,,41,4.56,21,2,9,"… For whisky, vermouth and scented vodkas values of TEAC ranged from 36.8 μmol TE/100 mL (S2) to 115 μmol TE/100 mL (S8). Download : Download full-size image … The high values of TEAC for red wine are consistent with the TEAC values for different red wines tested by …"
31,"O Rosé","by the glass",2017,"","fratelliparadiso.com","http://fratelliparadiso.com/wp-content/uploads/2013/02/Wine-List-September-2017.pdf","https://scholar.google.com/scholar?cites=6776715390829386947&as_sdt=2005&sciodt=0,5&hl=en",32,"2021-05-06 20:54:20","PDF","","","",,,,,31,7.75,31,1,4,"… VERMOUTH gls SILVIO CARTA - Sardegna 'Vermouth di Sardegna' 16 BY THE GLASS SPARKLING … Page 4. ORANGE WINE [all orange wines are available at cellar temp.] ANGIOLINO MAULE - Veneto 'Sassaia' [Garganega blend] 2015 87 …"
22,"D Wondrich","Imbibe!: From Absinthe Cocktail to Whiskey Smash, a Salute in Stories and Drinks to"" Professor"" Jerry Thomas, Pioneer of the American Bar",2015,"","TarcherPerigee","","https://scholar.google.com/scholar?cites=18052009463200387175&as_sdt=2005&sciodt=0,5&hl=en",107,"2021-05-06 20:54:20","CITATION","","","",,,,,22,3.67,22,1,6,""
21,"SG Muthuri, W Zhang…","Beer and wine consumption and risk of knee or hip osteoarthritis: a case control study",2015,"Arthritis …","arthritis-research.biomedcentral.com","https://arthritis-research.biomedcentral.com/articles/10.1186/s13075-015-0534-4","https://scholar.google.com/scholar?cites=13589440691997151658&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-05-06 20:54:20","HTML","","","",,,,,21,3.50,7,3,6,"… beverages (beer, wine, sherry/martini and spirits) as these were not part of the 126 food item semi-quantitative FFQ. Servings for units of alcoholic beverages were as follows: half pints for beer/lager/cider; a glass for white/red wine; a glass of sherry/vermouth/liqueurs; and tots …"
21,"D DeGroff","The Craft of the Cocktail: Everything You Need to Know to Be a Master Bartender, with 500 Recipes",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QiAOe9R8dJwC&oi=fnd&pg=PT6&dq=wermouth+wine+martini&ots=ShHJJCxWIY&sig=KK7Xe9vLdYrFHz5_ZmbjwMPWbcU","https://scholar.google.com/scholar?cites=5814940319395457527&as_sdt=2005&sciodt=0,5&hl=en",82,"2021-05-06 20:54:20","BOOK","","","",,,,,21,1.91,21,1,11,"… In Italy and France, these plants eventually found their way into fortified and flavored wines, such as vermouth and other apéritif wines … into a colonial New England inn for a cold one, or just as likely a hot one, you'd probably order a ratafia, shrub, turnip wine, posset, pope …"
21,"E Zanoni","Migrant Marketplaces: Food and Italians in North and South America",2018,"","University of Illinois Press","","https://scholar.google.com/scholar?cites=16454191510287253031&as_sdt=2005&sciodt=0,5&hl=en",108,"2021-05-06 20:54:20","CITATION","","","",,,,,21,7.00,21,1,3,""
15,"PS Panesar, VK Joshi, R Panesar, GS Abrol","Vermouth: technology of production and quality characteristics",2011,"Advances in food and …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780123849274000087","https://scholar.google.com/scholar?cites=9877692699895445477&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-05-06 20:54:20","","","","",,,,,15,1.50,4,4,10,"… Martini and Rossi, part of the Bacardi Empire, is the world's largest vermouth firm. It produces a range of aromatized wines, respecting tradition, but merged with modern, large-scale winemaking … Vermouth is prepared from a base wine, extracting flavorants from herbs and …"
